date,1a. open (EUR),2a. high (EUR),3a. low (EUR),4a. close (EUR),5. volume
2023-05-29 06:00:00,26082.0,26124.78,26076.21,26097.48,18.30491
2023-05-29 07:00:00,26096.57,26096.57,25953.73,26009.91,33.2938
2023-05-29 08:00:00,26009.92,26087.67,25977.0,26019.89,28.7356
2023-05-29 09:00:00,26019.5,26095.05,25994.0,26095.05,25.14362
2023-05-29 10:00:00,26095.05,26140.29,25929.17,26035.62,42.60939
2023-05-29 11:00:00,26035.63,26111.96,26025.17,26090.99,18.14729
2023-05-29 12:00:00,26091.0,26121.99,26049.33,26069.41,16.68631
2023-05-29 13:00:00,26068.98,26130.45,26063.13,26106.87,17.32222
2023-05-29 14:00:00,26106.87,26131.99,25899.9,25988.07,37.26993
2023-05-29 15:00:00,25988.58,26042.1,25801.02,25836.41,58.89723
2023-05-29 16:00:00,25829.66,25878.99,25757.95,25803.87,40.21396
2023-05-29 17:00:00,25803.25,25932.14,25733.96,25888.52,28.47135
2023-05-29 18:00:00,25890.37,25917.14,25817.4,25847.18,20.60259
2023-05-29 19:00:00,25847.25,25917.2,25839.02,25860.92,13.87859
2023-05-29 20:00:00,25860.92,25924.39,25848.0,25906.01,17.13977
2023-05-29 21:00:00,25905.07,25933.5,25862.92,25881.0,11.15298
2023-05-29 22:00:00,25881.01,25899.97,25773.18,25896.99,24.93237
2023-05-29 23:00:00,25898.89,26010.78,25890.99,25940.95,19.82189
2023-05-30 00:00:00,25942.0,25956.55,25780.14,25903.98,12.31813
2023-05-30 01:00:00,25906.0,25977.32,25892.0,25939.32,5.7712
2023-05-30 02:00:00,25938.66,25959.98,25893.0,25947.79,7.69161
2023-05-30 03:00:00,25950.25,26106.28,25939.45,26009.32,22.72213
2023-05-30 04:00:00,26014.0,26033.84,25950.0,25958.99,7.81704
2023-05-30 05:00:00,25959.99,25998.68,25877.13,25997.25,20.54714
2023-05-30 06:00:00,26000.0,26066.25,25994.0,26031.86,12.99147
2023-05-30 07:00:00,26031.77,26078.0,25992.39,25992.4,25.76189
2023-05-30 08:00:00,25992.4,26055.64,25970.99,26002.91,28.399
2023-05-30 09:00:00,26002.93,26101.49,26002.93,26050.08,44.4097
